open_time;open;high;low;close;up down;up down volume;volume;close_time;quote_volume;trades;taker_base_volue;taker_quote_volume;ignore;acc_volum;price diff;10xprice diff;10 mins acc volume;10mins acc price diff;;;10 mins acc volume;10mins acc price diff
1.60723E+12;19192.98;19195.72;19191.49;19192.98;1;8.814508;8.814508;1.60723E+12;169179.5534;281;2.757646;52928.52623;0;-13.372845;0;0;64.787411;7.8;;;-41.164106;8.98
1.60723E+12;19192.98;19196.33;19190.23;19193.86;1;6.885912;6.885912;1.60723E+12;132156.9658;217;4.636316;88981.35765;0;-6.486933;0.88;8.8;44.650212;-2.55;;;-39.93697;0.85
1.60723E+12;19194.67;19198.53;19193.71;19197.46;1;6.52323;6.52323;1.60723E+12;125230.6476;165;5.245679;100704.9298;0;0.036297;3.6;36;22.409472;-7.18;;;-38.672086;5.36
1.60723E+12;19197.45;19197.45;19188.01;19188.51;-1;-9.043889;9.043889;1.60723E+12;173560.6546;196;0.528094;10133.41715;0;-9.007592;-8.95;-89.5;6.485147;-10.27;;;-37.966263;-2.66
1.60723E+12;19188.51;19196.88;19188.51;19195.84;1;18.59181;18.59181;1.60723E+12;356864.477;303;7.391941;141884.3034;0;9.584218;7.33;73.3;25.789788;3.52;;;-36.632523;1.51
1.60723E+12;19196.14;19198.01;19189.34;19198;1;11.217666;11.217666;1.60723E+12;215311.2977;262;5.02634;96472.42299;0;20.801884;2.16;21.6;-5.282121;-5.79;;;-36.055585;2.29
1.60723E+12;19198.01;19198.01;19193.57;19194.47;-1;-13.412811;13.412811;1.60723E+12;257462.7444;248;6.007958;115325.7173;0;7.389073;-3.53;-35.3;-21.603131;-9.55;;;-35.435545;3.13
1.60723E+12;19194.48;19222.41;19194.47;19215.23;1;51.118622;51.118622;1.60723E+12;981573.4822;368;44.695071;858192.9975;0;58.507695;20.76;207.6;-1.067798;-5.08;;;-34.93457;-14.72
1.60723E+12;19215.23;19225.5;19213.61;19216.93;1;15.850891;15.850891;1.60723E+12;304664.4857;436;6.829995;131263.8157;0;74.358586;1.7;17;-45.129558;-25.25;;;-33.846623;1.24
1.60723E+12;19216.93;19219;19211.64;19213.39;-1;-13.299457;13.299457;1.60723E+12;255551.7249;296;3.118646;59923.29503;0;61.059129;-3.54;-35.4;-69.402118;-28.48;;;-32.909109;-10.78
1.60723E+12;19213.26;19214.53;19196.5;19200.78;-1;-18.459071;18.459071;1.60723E+12;354472.9723;397;4.841509;92959.12267;0;42.600058;-12.61;-126.1;-65.694401;-26.88;;;-30.888223;0.87
