open_time;open;high;low;close;up down;up down volume;volume;close_time;quote_volume;trades;taker_base_volue;taker_quote_volume;ignore;acc_volum;price diff;10xprice diff;10 mins acc volume;10mins acc price diff;dev 10 mins acc volume;dev 10mins acc price diff;10x up down volume;;;10 mins acc volume;10mins acc price diff;;;
1.60729E+12;19135.19;19138.05;19128.14;19132.45;-1;-8.35735;8.35735;1.60729E+12;159903.4856;279;3.885422;74338.33006;0;-175.118086;-2.73;-27.3;-14.310496;3.16;-6.864332;1.51;-83.5735;;;-243.580081;-74.25;0.304827881;;
1.60729E+12;19132.19;19138.5;19130.62;19130.63;-1;-7.395831;7.395831;1.60729E+12;141499.5634;218;3.231546;61829.01091;0;-182.513917;-1.82;-18.2;-11.993837;1.94;2.316659;-1.22;-73.95831;;;-239.359159;-60.7;0.253593805;;
1.60729E+12;19130.63;19138.09;19130.63;19135;1;7.025205;7.025205;1.60729E+12;134424.8979;273;5.493509;105114.2538;0;-175.488712;4.37;43.7;11.548052;16.29;23.541889;14.35;70.25205;;;-233.873962;-62.74;0.268264152;;
1.60729E+12;19135;19140;19132.91;19133.01;-1;-15.660549;15.660549;1.60729E+12;299673.8342;213;12.001301;229653.2703;0;-191.149261;-1.99;-19.9;-9.751373;3.85;-21.299425;-12.44;-156.60549;;;-233.11529;-93.2;0.399802175;;
1.60729E+12;19132.91;19139.28;19125;19125.18;-1;-14.694939;14.694939;1.60729E+12;281159.4032;333;4.302354;82332.31917;0;-205.8442;-7.83;-78.3;28.463183;10.55;38.214556;6.7;-146.94939;;;-231.252544;-44.02;0.190354663;;
1.60729E+12;19125.19;19132.86;19122.83;19129.38;1;6.814343;6.814343;1.60729E+12;130348.8083;280;3.106371;59415.67921;0;-199.029857;4.2;42;68.978576;29.7;40.515393;19.15;68.14343;;;-226.541241;-62.57;0.276196951;;
1.60729E+12;19129.39;19145.23;19129.39;19137.33;1;21.179905;21.179905;1.60729E+12;405365.3644;371;8.758485;167623.0211;0;-177.849952;7.95;79.5;47.365728;24.12;-21.612848;-5.58;211.79905;;;-225.866878;-40.35;0.178645051;;
1.60729E+12;19138;19138.99;19130;19134.34;-1;-9.05226;9.05226;1.60729E+12;173204.4813;256;5.085548;97303.88096;0;-186.902212;-2.99;-29.9;40.922329;17.43;-6.443399;-6.69;-90.5226;;;-224.270298;-41.71;0.185980936;;
1.60729E+12;19134.35;19138.45;19130;19138.44;1;8.165145;8.165145;1.60729E+12;156229.8475;337;4.412848;84434.27632;0;-178.737067;4.1;41;43.358611;14.54;2.436282;-2.89;81.65145;;;-221.321994;-37.49;0.169391208;;
1.60729E+12;19138.45;19142.43;19129.03;19131.66;-1;-6.576189;6.576189;1.60729E+12;125844.3581;286;4.089096;78250.97582;0;-185.313256;-6.78;-67.8;44.160153;14.85;0.801542;0.31;-65.76189;;;-220.798649;-40.05;0.181386979;;
